type;timestamp;packetLoss;isp;ping_jitter;ping_latency;ping_low;ping_high;download_bandwidth;download_bytes;download_elapsed;download_latency_iqm;download_latency_low;download_latency_high;download_latency_jitter;upload_bandwidth;upload_bytes;upload_elapsed;upload_latency_iqm;upload_latency_low;upload_latency_high;upload_latency_jitter;interface_internalIp;interface_name;interface_macAddr;interface_isVpn;interface_externalIp;server_id;server_host;server_port;server_name;server_location;server_country;server_ip;result_id;result_url;result_persisted
result;2022-08-17T19:57:56Z;0.0;CETIN a.s.;0.306;6.639;5.985;6.73;13408633;147329011;13016;13.41;6.767;296.236;22.474;3146104;20466042;6527;280.624;12.975;446.925;82.105;192.168.1.172;;5C:51:4F:55:F6:9F;False;85.163.136.11;32363;speedtest.zcom.cz;8080;Tlap s.r.o. - ZCOM;Prague;Czechia;185.178.174.60;ef530c7d-3640-40e2-a3c3-6ed12176ffd2;https://www.speedtest.net/result/c/ef530c7d-3640-40e2-a3c3-6ed12176ffd2;True
result;2022-08-17T20:01:29Z;0.0;CETIN a.s.;1.85;6.643;6.512;13.755;14807524;113761047;7727;13.567;8.755;25.957;1.321;3091852;13911739;4535;182.131;18.326;408.206;61.875;192.168.1.172;;5C:51:4F:55:F6:9F;False;85.163.136.11;32363;speedtest.zcom.cz;8080;Tlap s.r.o. - ZCOM;Prague;Czechia;185.178.174.60;3ceec1db-77c8-45ec-93c1-e0264f4de0e5;https://www.speedtest.net/result/c/3ceec1db-77c8-45ec-93c1-e0264f4de0e5;True
result;2022-08-17T20:04:55Z;0.0;CETIN a.s.;0.377;6.475;6.21;6.976;14364106;194632500;15010;13.354;6.149;270.224;9.956;3119639;14619592;4730;210.653;20.468;547.75;70.521;192.168.1.172;;5C:51:4F:55:F6:9F;False;85.163.136.11;17717;speedtest.cloudinfrastack.com;8080;cloudinfrastack, s.r.o.;Prague;Czechia;185.120.70.168;c7f11ca5-2327-4caf-89bc-a4fbd7c84bd2;https://www.speedtest.net/result/c/c7f11ca5-2327-4caf-89bc-a4fbd7c84bd2;True
result;2022-08-17T20:05:48Z;0.0;CETIN a.s.;0.367;6.713;6.573;7.338;14091494;111688638;7810;15.357;6.894;294.628;14.623;3106504;12277969;4018;209.147;19.451;423.024;68.267;192.168.1.172;;5C:51:4F:55:F6:9F;False;85.163.136.11;32363;speedtest.zcom.cz;8080;Tlap s.r.o. - ZCOM;Prague;Czechia;185.178.174.60;d150df31-95e7-44a7-b454-4dce06c956ef;https://www.speedtest.net/result/c/d150df31-95e7-44a7-b454-4dce06c956ef;True
result;2022-08-17T20:06:41Z;0.0;CETIN a.s.;0.167;6.821;6.519;6.961;13443649;81491799;6004;13.335;6.947;273.706;17.886;3134288;22430862;7225;97.24;14.919;280.163;20.936;192.168.1.172;;5C:51:4F:55:F6:9F;False;85.163.136.11;17717;speedtest.cloudinfrastack.com;8080;cloudinfrastack, s.r.o.;Prague;Czechia;185.120.70.168;394376fd-d4bf-473f-8574-79560e6f24d1;https://www.speedtest.net/result/c/394376fd-d4bf-473f-8574-79560e6f24d1;True
result;2022-08-17T20:07:51Z;0.0;CETIN a.s.;0.373;6.425;6.175;6.844;12694157;180344600;15010;12.058;6.043;303.213;20.091;3162651;28203474;9035;161.193;20.859;428.392;52.128;192.168.1.172;;5C:51:4F:55:F6:9F;False;85.163.136.11;32363;speedtest.zcom.cz;8080;Tlap s.r.o. - ZCOM;Prague;Czechia;185.178.174.60;e0a9aef4-fa1d-4051-bc26-2d0b0063e8ea;https://www.speedtest.net/result/c/e0a9aef4-fa1d-4051-bc26-2d0b0063e8ea;True
result;2022-08-17T20:08:38Z;0.0;CETIN a.s.;0.429;6.75;6.174;7.238;10199430;45518645;4427;10.281;6.857;270.665;16.691;3115497;19907358;6461;236.124;20.347;629.688;78.362;192.168.1.172;;5C:51:4F:55:F6:9F;False;85.163.136.11;4162;speedtest1.ispalliance.cz;8080;ISP Alliance a.s.;Prague;Czechia;217.75.208.140;3b6befc5-daa7-41a0-b385-aaaff4c08039;https://www.speedtest.net/result/c/3b6befc5-daa7-41a0-b385-aaaff4c08039;True
result;2022-08-17T20:10:41Z;0.0;CETIN a.s.;0.453;6.21;6.027;6.976;14848953;92807527;6231;13.379;6.392;25.134;1.465;3205703;22559992;7218;174.12;19.445;441.587;58.964;192.168.1.249;;28:D2:44:32:D5:27;False;85.163.136.11;32363;speedtest.zcom.cz;8080;Tlap s.r.o. - ZCOM;Prague;Czechia;185.178.174.60;e5b105d6-59f2-4284-afe8-753dcb14ae30;https://www.speedtest.net/result/c/e5b105d6-59f2-4284-afe8-753dcb14ae30;True
result;2022-08-17T20:11:38Z;0.0;CETIN a.s.;0.187;6.482;6.239;6.652;13327738;82443278;6206;11.781;6.064;298.571;13.056;3097623;12351259;4019;197.283;12.22;374.783;66.326;192.168.1.249;;28:D2:44:32:D5:27;False;85.163.136.11;32363;speedtest.zcom.cz;8080;Tlap s.r.o. - ZCOM;Prague;Czechia;185.178.174.60;b77ef97b-99e9-43c7-a4d9-4ba2f3cc03cb;https://www.speedtest.net/result/c/b77ef97b-99e9-43c7-a4d9-4ba2f3cc03cb;True
result;2022-08-17T20:12:49Z;0.0;CETIN a.s.;6.651;10.3;6.932;15.955;7765273;87757766;12619;11.195;5.987;267.584;30.26;3274557;20328679;6429;338.748;25.663;957.014;91.272;192.168.1.249;;28:D2:44:32:D5:27;False;85.163.136.11;4162;speedtest1.ispalliance.cz;8080;ISP Alliance a.s.;Prague;Czechia;217.75.208.140;f01f6cad-2abc-42e6-ab1f-989605a42d18;https://www.speedtest.net/result/c/f01f6cad-2abc-42e6-ab1f-989605a42d18;True
